decile,n,n_treated,n_control,treatment_rate,conversion_rate,visit_rate,mean_uplift_pred,treated_conv_rate,control_conv_rate,mean_f0,mean_f1,mean_f2,mean_f3,mean_f4,mean_f5,mean_f6,mean_f7,mean_f8,mean_f9,mean_f10,mean_f11,observed_lift,observed_lift_se
1,40000,34503.0,5497.0,0.862575,0.019225,0.260575,0.013751804198856422,0.020172158942700635,0.01327997089321448,16.948829275227805,10.12091719581567,8.467874917736717,2.5133026879948197,10.66614124707952,3.7607986109805207,-8.226402862390362,5.676354462190093,3.840523463482539,27.797062396264327,5.496008483727342,-0.18480273216610266,0.006892188049486155,0.0017194857253092107
2,40000,34029.0,5971.0,0.850725,0.00135,0.068825,0.0008734187264934914,0.0014105615798289694,0.0010048568079048736,18.36212684896506,10.070751094406809,8.636268190393869,3.9690807623596767,10.306946726137683,4.005003024947195,-4.994815802810361,5.199831820999791,3.895426993379689,18.075316733555223,5.325904281023508,-0.16911967249246482,0.00040570477192409583,0.0004577266720670292
3,40000,33822.0,6178.0,0.84555,0.000425,0.02,0.0002492009090062952,0.0004730648690201644,0.0001618646811265782,17.138002766318326,10.063337526401646,8.586038033628878,4.283443612508254,10.286685130376268,4.074992618957224,-3.3432806088167664,4.980806797589447,3.931960850403417,15.089654402453244,5.306702009548235,-0.16873349006092345,0.0003112001878935862,0.00020044005474683895
4,40000,34024.0,5976.0,0.8506,0.000125,0.008625,0.00012288209155320918,8.817305431460145e-05,0.00033467202141900936,20.140224078508087,10.061492319435228,8.404031215251266,4.424102621373288,10.282921701490134,4.091463894702257,-4.0264642177361205,4.927738484747828,3.9559898868647796,14.01344999961108,5.302887149207987,-0.16872855650998358,-0.0002464989671044079,0.00024202315130069656
5,40000,33938.0,6062.0,0.84845,5e-05,0.003525,8.812862166438571e-05,5.8930991808592137e-05,0.0,21.798680557008282,10.060581277473917,8.31330298617794,4.546095699347459,10.281463956778177,4.10429700626808,-3.910732530875214,4.875729354591681,3.966132885275748,13.465356381741353,5.301558951617472,-0.16868415455147023,5.8930991808592137e-05,4.166927606975149e-05
6,40000,33875.0,6125.0,0.846875,0.0001,0.00265,6.836118198143596e-05,0.00011808118081180812,0.0,22.388140776878323,10.060583744068678,8.262330501416445,4.575019141500871,10.281033247716337,4.101497588085046,-3.49330402731993,4.893115699516106,3.9685062675450187,13.28254045109117,5.300981062837068,-0.168694021653372,0.00011808118081180812,5.9037104511680916e-05
7,40000,33983.0,6017.0,0.849575,0.0001,0.001525,5.5704658086282144e-05,8.827943383456434e-05,0.00016619577862722287,23.10326045765251,10.060592747157912,8.234806825767867,4.601077157391795,10.281288883266477,4.104486657173346,-4.001533173913129,4.877559585786302,3.9699764402014437,13.268897929662268,5.301279052313547,-0.16868168777601322,-7.791634479265853e-05,0.00017382166095845296
8,40000,33921.0,6079.0,0.848025,0.000125,0.00225,4.161419987296156e-05,8.844078889183692e-05,0.0003290014805066623,22.881046285909477,10.060762215461743,8.305661007379873,4.538598434238421,10.2814712298608,4.094005593784107,-3.728450708872595,4.921195493102129,3.967694673562817,13.275990600963283,5.301430910086076,-0.16870388875528008,-0.00024056069161482537,0.00023813905250557
9,40000,34051.0,5949.0,0.851275,0.000275,0.006625,1.1530492055356565e-05,0.00026430941822560276,0.00033619095646327115,17.796366461478705,10.062764909829209,8.603051788709646,4.331900162096831,10.283777791825663,4.040031658258928,-2.4557468207778643,5.123695199168921,3.948943137912688,13.481051100552234,5.304042342325723,-0.16870388875528564,-7.18815382376684e-05,0.00025348233129932095
10,40000,33854.0,6146.0,0.84635,0.007375,0.0957,-0.004159193710337063,0.007857269451172683,0.004718516108037748,15.371477725814172,10.077558415805115,8.664614401782217,4.040415969262199,10.441738439736847,3.9079264601195662,-3.267846489391171,5.533744618009872,3.889794280882733,18.571823372821807,5.39528274440537,-0.17498069928977708,0.0031387533431349347,0.0009971882113101057
