decile,n,n_treated,n_control,treatment_rate,conversion_rate,visit_rate,mean_uplift_pred,treated_conv_rate,control_conv_rate,mean_f0,mean_f1,mean_f2,mean_f3,mean_f4,mean_f5,mean_f6,mean_f7,mean_f8,mean_f9,mean_f10,mean_f11,observed_lift,observed_lift_se
1,40000,34477.0,5523.0,0.861925,0.023,0.332325,0.007114379332835931,0.02424804942425385,0.015209125475285171,15.634754871319007,10.12910891729245,8.420375913264975,2.192221173434962,10.747058815340035,3.7511077042609613,-8.218805350847278,5.672634483995358,3.816830926110137,31.869025811880483,5.527772021757557,-0.18863153815999045,0.00903892394896868,0.0018434082896556213
2,40000,34047.0,5953.0,0.851175,0.002575,0.078875,0.0006606009932114711,0.0025846623784768117,0.0025197379472534855,15.784003740290224,10.077137444406233,8.48427791448697,3.099050528301053,10.337732667375873,3.985769222904085,-5.632678339082369,5.2331675588189155,3.8965905445190714,19.16062637578152,5.355805907432097,-0.169383653604412,6.49244312233262e-05,0.0007056371220544425
3,40000,33943.0,6057.0,0.848575,0.000875,0.025975,0.00034408498293229294,0.0009427569749285567,0.0004952947003467063,15.720641734991267,10.066471678097999,8.499984132512257,4.038702760738248,10.299673223742953,4.035280105451751,-3.368959041868421,5.148476065896055,3.923388296299787,15.598747939370147,5.322402326439951,-0.16887233371726365,0.00044746227458185045,0.00033087807979830235
4,40000,33817.0,6183.0,0.845425,0.000225,0.0108,0.0002443821304752187,0.00023656740692551084,0.00016173378618793466,18.09380403249771,10.0634130987796,8.493355017471062,4.491436215882144,10.287874046254226,4.04086354652406,-4.9968231361439,5.1643903407485,3.9403563212091335,14.072086502891905,5.309507637640733,-0.16868662132693568,7.483362073757617e-05,0.0001820644098467973
5,40000,34007.0,5993.0,0.850175,0.0001,0.00555,0.00019919087753779996,0.00011762284235598553,0.0,20.147781270495134,10.061056691205351,8.442420359309711,4.634800297891648,10.283836206292108,4.062155814463384,-5.29908688781457,5.06958407560286,3.9523378256288417,13.387144260781765,5.304979048837456,-0.16868343798104843,0.00011762284235598553,5.880796229301783e-05
6,40000,33989.0,6011.0,0.849725,0.000125,0.003525,0.00017474501553441836,0.00011768513342552002,0.00016636167027116953,20.811919194628885,10.059946397664751,8.41563126133785,4.6692580353262185,10.282892609162385,4.080085368371874,-4.127448357951619,4.987773298899093,3.958392889610916,13.220403540789126,5.303817690689653,-0.16867922100053162,-4.867653684564951e-05,0.00017644727613198806
7,40000,33866.0,6134.0,0.84665,2.5e-05,0.0022,0.00015911196854126827,2.952814031772279e-05,0.0,21.31036844849063,10.059862422034264,8.391778123465615,4.6739115394865145,10.281379592386902,4.091251184027859,-3.005635467787836,4.939131295953817,3.9621563610007615,13.207392304692837,5.301530278649274,-0.1686792210005398,2.952814031772279e-05,2.952770435896919e-05
8,40000,34037.0,5963.0,0.850925,0.000125,0.002,0.00014745951051470314,0.00014689896289332198,0.0,21.70812265496668,10.06002695714825,8.401406086917968,4.6759656507941445,10.281105746653433,4.097179571716296,-2.394460598185959,4.907342524702854,3.963232481754965,13.202915939162619,5.30123202868986,-0.16867922100054616,0.00014689896289332198,6.569038791416167e-05
9,40000,33922.0,6078.0,0.84805,0.0001,0.00185,0.00013491746794388692,0.00011791757561464536,0.0,22.690704337338147,10.059934927979683,8.397548112599237,4.676807548865233,10.28088343586944,4.100329638920983,-2.0202929394433626,4.881651059017517,3.964681698765448,13.20223749262607,5.30079758208509,-0.16868590475655001,0.00011791757561464536,5.895531156618247e-05
10,40000,33895.0,6105.0,0.847375,0.002,0.0072,-3.4760494303988197e-06,0.0020061956040713968,0.0019656019656019656,24.026054948743298,10.062382911247397,8.531202946878961,4.670882497353106,10.311032011190628,4.040480956634836,-2.3843871237791534,5.00562081206717,3.956981534612198,13.400563200733343,5.30823246487071,-0.17085163946284396,4.05936384694312e-05,0.0006167680799865458
