rank,feature_name,heterogeneity_score,lift_min,lift_max,lift_range,lift_mean
1,f4,8.242417824676725e-06,0.0003102565082930825,0.006162171484414104,0.005851914976121021,0.0018573743630784356
2,f2,7.797856759238507e-06,3.0180856548913773e-05,0.00570269130220174,0.005672510445652827,0.0015185666166820833
3,f9,5.939861648387205e-06,6.321375216423775e-05,0.005001562391518692,0.004938348639354454,0.0013464935807368894
4,f3,4.308516325888817e-06,-0.00026602978874827707,0.004256790739361454,0.004522820528109731,0.0011885334055116844
5,f8,3.865547465013283e-06,2.6343630219954058e-05,0.0040261046262455675,0.003999760996025613,0.0010801113137300024
6,f0,2.4908706756359466e-06,0.00010079167538347064,0.003394974733528327,0.003294183058144856,0.001039097562321573
7,f6,2.3927608239232435e-06,0.0001292830074036143,0.003411170814479299,0.0032818878070756848,0.0011011451589310985
8,f7,1.0610481753072549e-06,0.000476805951458622,0.002722225161102825,0.0022454192096442033,0.00119268232922348
9,f10,1.0559707628133462e-06,0.00031422457173853563,0.0024331474202519254,0.00211892284851339,0.0008938289713545524
10,f11,5.584945089583966e-07,0.0006148053098064436,0.002186371301007864,0.0015715659912014204,0.0010692588151065242
11,f5,3.5675096235329073e-07,0.0003100917796283007,0.0017616218910961566,0.001451530111467856,0.0010064612010734608
12,f1,2.0523820655308857e-07,0.0005246622290639648,0.0014611113414220748,0.00093644911235811,0.0010839309191474776
