feature_name,bucket,control_rate,treatment_rate,lift,lift_se,n_t,n_c
f0,1,0.001490379786791397,0.001957224982484045,0.0004668451956926481,5.774083850941098e-05,2937322,557576
f0,2,0.005651145874995078,0.009046120608523405,0.003394974733528327,0.00012091530408379608,3012341,482557
f0,3,0.0006094122873464366,0.0008031909320282829,0.00019377864468184624,3.7770851665772756e-05,2968161,526737
f0,4,0.0003471259293636465,0.0004479176047471171,0.00010079167538347064,2.8384040379685592e-05,2964831,530067
f1,1,0.0015323006239716884,0.0029934119653937633,0.0014611113414220748,5.4858299107023846e-05,2689573,805325
f1,2,0.0016651334801475576,0.002571696524929121,0.0009065630447815634,6.290360488099778e-05,2956803,538095
f1,3,0.002006128960919976,0.0025307911899839406,0.0005246622290639648,9.319434103050583e-05,3241674,253224
f1,4,0.0028483308781054304,0.0042917179394277374,0.001443387061322307,8.42858721570025e-05,2994605,500293
f10,1,0.0005919045667713883,0.0009061291385099239,0.00031422457173853563,3.904963889552347e-05,3011712,483186
f10,2,0.00045058157539422015,0.0008957321452012695,0.00044515056980704937,3.180369755390609e-05,2849066,645832
f10,3,0.00046729247207534795,0.0008500857956960471,0.0003827933236206992,3.4663354203884705e-05,2985581,509317
f10,4,0.007082393884021439,0.009515541304273364,0.0024331474202519254,0.00013578724610837292,3036296,458602
f11,1,0.005581476563483459,0.007767847864491323,0.002186371301007864,0.00011762791189965627,3002376,492522
f11,2,0.0006995880203879937,0.0014645059534688517,0.000764917933080858,4.229435322775415e-05,2954580,540318
f11,3,0.0009165389373439044,0.0016274796538748356,0.0007109407165309312,4.466068385653193e-05,2852263,642635
f11,4,0.000823324522732773,0.0014381298325392166,0.0006148053098064436,4.9184729864731405e-05,3073436,421462
f2,1,6.284592346666783e-05,9.593031305588484e-05,3.308438958921702e-05,1.2953995501335264e-05,3033452,461446
f2,2,6.385669733161401e-05,9.403755388052778e-05,3.0180856548913773e-05,1.2758300145789396e-05,3009436,485462
f2,3,0.006054969434514295,0.011757660736716035,0.00570269130220174,0.00011729553747193373,2875572,619326
f2,4,0.0004767261537997712,0.0007850360721882333,0.00030830991838846206,3.409538391371477e-05,2964195,530703
f3,1,0.004644297943520614,0.008901088682882068,0.004256790739361454,0.00010618354994135218,2935933,558965
f3,2,0.0010128574967436731,0.0011782252748023434,0.00016536777805867026,4.913658941115628e-05,2994334,500564
f3,3,0.0006849663349515289,0.0012829712283264196,0.0005980048933748906,3.84326927486003e-05,2826252,668646
f3,4,0.0013613116318926572,0.00109528184314438,-0.00026602978874827707,6.353366137663871e-05,3126136,368762
f4,1,0.0005839774117537133,0.0008942339200467958,0.0003102565082930825,4.458211078695147e-05,3152419,342479
f4,2,0.00041229296495509795,0.0008893971364861751,0.00047710417153107716,3.557672568050607e-05,3072868,422030
f4,3,0.0004037126819241794,0.0008836779699996579,0.00047996528807547846,3.229487451982741e-05,2952433,542465
f4,4,0.004392610793163731,0.010554782277577834,0.006162171484414104,9.693793540259665e-05,2704935,789963
f5,1,0.004103245514903235,0.005864867405999391,0.0017616218910961566,0.00010457730044690195,3041842,453056
f5,2,0.001841185256055469,0.00215127703568377,0.0003100917796283007,7.6131614218274e-05,3135347,359551
f5,3,0.001259363779754014,0.0023180585127416434,0.0010586947329876294,4.7967599892477744e-05,2604766,890132
f5,4,0.0010679912125378618,0.0019634276131196182,0.0008954364005817565,5.777854338384489e-05,3100700,394198
f6,1,0.00483047631159056,0.008241647126069859,0.003411170814479299,0.0001108338485602093,2991635,503263
f6,2,0.000979190293776213,0.0014444735679506543,0.0004652832741744413,4.854041384855995e-05,2972017,522881
f6,3,0.0006797311616698667,0.000809014169073481,0.0001292830074036143,3.922083382776268e-05,2957921,536977
f6,4,0.0014143450177589282,0.0018131885574259679,0.00039884353966703964,5.706996920343853e-05,2961082,533816
f7,1,0.0015156591153264096,0.0022932102101739242,0.0007775510948475146,6.51440244969853e-05,3062083,432815
f7,2,0.0014771005837234264,0.002271247693208385,0.0007941471094849585,5.4310789244000355e-05,2806387,688511
f7,3,0.0015834049343316557,0.0020602108857902778,0.000476805951458622,6.743012664255728e-05,3087548,407350
f7,4,0.0030707720572061077,0.005792997218308933,0.002722225161102825,8.576216699826611e-05,2926637,568261
f8,1,0.00759253338385812,0.011618638010103688,0.0040261046262455675,0.00013679917422513847,2988216,506682
f8,2,0.00026742795627127076,0.0004938400673493306,0.00022641211107805984,2.5003052239381736e-05,2907824,587074
f8,3,6.00184194459679e-05,0.00010160330682239642,4.158488737642852e-05,1.2567391553005143e-05,3011713,483185
f8,4,5.769275148270371e-05,8.403638170265777e-05,2.6343630219954058e-05,1.1797801974698172e-05,2974902,519996
f9,1,0.00020530248263119156,0.00038260976076353367,0.0001773072781323421,2.396321736712089e-05,3037037,457861
f9,2,0.0002372857013509674,0.00038117660248325344,0.00014389090113228604,2.2446142670603977e-05,2854320,640578
f9,3,0.0002806597154251995,0.00034387346758943724,6.321375216423775e-05,2.7815205005169708e-05,3070897,424001
f9,4,0.006436935266850827,0.01143849765836952,0.005001562391518692,0.00012249205313510434,2920401,574497
